metric_id,dataset,model,metric,value,units,population,source_file,source_column,status,report_section,destination,notes
SF-store_item_demand-Moving Average-MASE,store_item_demand,Moving Average,MASE,1.191262,ratio,500 series,06_results/scale_free_metrics/summary.csv,MASE,FINAL,4.2/4.3,T-04,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-store_item_demand-Moving Average-RMSSE,store_item_demand,Moving Average,RMSSE,1.181533,ratio,500 series,06_results/scale_free_metrics/summary.csv,RMSSE,FINAL,4.2/4.3,T-04,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-store_item_demand-Naive-MASE,store_item_demand,Naive,MASE,1.97105,ratio,500 series,06_results/scale_free_metrics/summary.csv,MASE,FINAL,4.2/4.3,T-04,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-store_item_demand-Naive-RMSSE,store_item_demand,Naive,RMSSE,1.869926,ratio,500 series,06_results/scale_free_metrics/summary.csv,RMSSE,FINAL,4.2/4.3,T-04,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-store_item_demand-Seasonal Naive-MASE,store_item_demand,Seasonal Naive,MASE,1.182503,ratio,500 series,06_results/scale_free_metrics/summary.csv,MASE,FINAL,4.2/4.3,T-04,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-store_item_demand-Seasonal Naive-RMSSE,store_item_demand,Seasonal Naive,RMSSE,1.166891,ratio,500 series,06_results/scale_free_metrics/summary.csv,RMSSE,FINAL,4.2/4.3,T-04,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-DES-MASE,m5,DES,MASE,1.986585,ratio,500 series,06_results/scale_free_metrics/summary.csv,MASE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-DES-RMSSE,m5,DES,RMSSE,1.327171,ratio,500 series,06_results/scale_free_metrics/summary.csv,RMSSE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-SES-MASE,m5,SES,MASE,1.350799,ratio,500 series,06_results/scale_free_metrics/summary.csv,MASE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-SES-RMSSE,m5,SES,RMSSE,0.858164,ratio,500 series,06_results/scale_free_metrics/summary.csv,RMSSE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-TES-MASE,m5,TES,MASE,2.599437,ratio,500 series,06_results/scale_free_metrics/summary.csv,MASE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-m5-TES-RMSSE,m5,TES,RMSSE,1.846045,ratio,500 series,06_results/scale_free_metrics/summary.csv,RMSSE,FINAL,4.2/4.3,T-03,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-store_item_demand-DES-MASE,store_item_demand,DES,MASE,1.680754,ratio,500 series,06_results/scale_free_metrics/summary.csv,MASE,FINAL,4.2/4.3,T-04,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
SF-store_item_demand-DES-RMSSE,store_item_demand,DES,RMSSE,1.673984,ratio,500 series,06_results/scale_free_metrics/summary.csv,RMSSE,FINAL,4.2/4.3,T-04,"m=7, train-only denom (method_note.txt); n_nan_mase=0"
